original_value,real_value_english
Geographic Data,geoscientificInformation
Business and Industry,economy
Population and Demographics,society
Employment and Labour,economy
Financial Services,economy
Business and Economy,economy
Health and Wellness,health
"Lands, Forests and Wildlife",biota
"Lands, Forests and Wildlife",environment
Lidar,elevation
Crime and Justice,society
Government,society
Education - Post Secondary and Skills Training,society
"Roads, Driving and Transport",transportation
Energy,utilitiesCommunication
Fishing and Aquaculture,economy
Fishing and Aquaculture,farming
Fishing and Aquaculture,biota
"Poverty Reduction, Health and Well-Being",society
"Poverty Reduction, Health and Well-Being",health
Education - Kindergarten to Grade 12,society
Economic participation and prosperity,economy
Economic participation and prosperity,society
Gender and Diversity,society
Education and Skills Development,society
Economic Participation and Prosperity,economy
Economic Participation and Prosperity,society
Leadership and Democratic Participation,society
Municipalities,society
Gender-Based Violence and Access to Justice,society
Mines and Minerals,economy
Mines and Minerals,geoscientificInformation
